first_name	last_name	phone	email
Twana	Felger	503-939-3153	twana.felger@felger.org
Tammara	Wardrip	650-803-1936	twardrip@cox.net
Tonette	Wenner	516-968-6051	twenner@aol.com
Valentine	Gillian	210-812-9597	valentine_gillian@gmail.com
Van	Shire	908-409-2890	van.shire@shire.com
Vilma	Berlanga	616-737-3085	vberlanga@berlanga.com
Venita	Maillard	714-523-6653	venita_maillard@gmail.com
Vincent	Meinerding	215-372-1718	vincent.meinerding@hotmail.com
Veronika	Inouye	408-540-1785	vinouye@aol.com
Viola	Bitsuie	818-864-4875	viola@gmail.com
Virgina	Tegarden	414-214-8697	virgina_tegarden@tegarden.com
Viva	Toelkes	773-446-5569	viva.toelkes@gmail.com
Virgie	Kiel	303-776-7548	vkiel@hotmail.com
Valentin	Klimek	312-303-5453	vklimek@klimek.org
Vallie	Mondella	208-862-5339	vmondella@mondella.com
Vi	Rentfro	732-605-4781	vrentfro@cox.net
Vincenza	Zepp	619-603-5125	vzepp@gmail.com
Weldon	Acuff	847-353-2156	wacuff@gmail.com
Whitley	Tomasulo	817-526-4408	whitley.tomasulo@aol.com
Wilda	Giguere	907-870-5536	wilda@cox.net
Willard	Kolmetz	972-303-9197	willard@hotmail.com
Willodean	Konopacki	337-253-8384	willodean_konopacki@konopacki.org
Winfred	Brucato	208-252-4552	winfred_brucato@hotmail.com
Willow	Kusko	212-582-4976	wkusko@yahoo.com
Wynell	Dorshorst	650-473-1262	wynell_dorshorst@dorshorst.org
Xochitl	Discipio	512-233-1831	xdiscipio@gmail.com
Xuan	Rochin	650-933-5072	xuan@gmail.com
Yoko	Fishburne	203-506-4706	yoko@fishburne.com
Yolando	Luczki	315-304-4759	yolando@cox.net
Youlanda	Schemmer	541-548-8197	youlanda@aol.com
Yuki	Whobrey	313-288-7937	yuki_whobrey@aol.com
Yvonne	Tjepkema	973-714-1721	yvonne.tjepkema@hotmail.com
